Gene	MB176	MB95	MB40	MB37	MB38	MB28	MB113	MB18	MB19	MB90	MB26	MB35	MB110	MB64	MB7	MB91	MB206	MB9	MB200	MB12	MB1M21	MB4M23	MB4M26	MB4M77	MB1M1
ENSG00000258883.1	0	0.0568931130058058	0.0597564233268096	0.163643495526783	0	0.381143421692618	0.0274298790166096	0.0485751117081229	0.167696281715062	0	0.0433253826061538	0.0228437338276601	0.0943506832148516	0.0527745030491067	0	0.0225103858725606	0.0357370534936832	0	0	0.0524463692537945	0.506622992198113	0.0992886947975832	3.66601833865551	2.71270527091361	0.0669960466288106
ENSG00000237161.3	2.95336630470163	1.48435304886024	2.02971624490728	3.08991575951686	3.14444772510295	3.07570532367177	1.71823802069315	1.37892389705456	4.64352300689741	0.194128135085295	1.34897710288477	0.432941744076543	3.69631365373819	2.55029158871196	1.2131022439686	7.0254450176594	0.444203285403765	0.848326914133832	0.856335368257002	26.2952983846212	7.62990711083546	7.4373971069102	4.87538982828051	27.54500271309	4.97998190933383
ENSG00000247765.1	1.31830169028059	0.266510403960098	0.517594045271274	0.454571275337836	0.729278894512403	0.490873017876352	0.397599967753946	0.237563241063974	1.41548543573512	0.0685285304505834	0.252734739996841	0.113066440083597	1.1118914387806	0.50687293025693	0.327265217304702	1.13008178738656	0.0663310141430649	0.153350284156746	0.17686507283766	1.63168639410972	1.11384968246518	1.77852808105102	0.6580892771542	8.17630674726808	1.07770318043069
ENSG00000207289.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202915164147853	0	0
ENSG00000258415.2	0	0	0	0	0	0	0.00973811689994875	0	0.0148838242600264	0	0	0	0.0223308308476291	0	0	0	0.0126873182477574	0	0.0322917727612524	0.0186194359246743	0	0	0	0	0
ENSG00000268531.1	0.0467411537862716	0	0.0335197558162133	0.0131134498198513	0.30185245949843	0.0152713223291987	0.0461595320896249	0	0.01175843972378	0	0	0	0.0352833685639484	0.0394710918546427	0	0.126269712236683	0.0100231677199611	0	0	0.117677022349189	0.21313874781903	0.0371299866986557	0.0318824119879886	0.386863814488538	0
ENSG00000258712.2	0.59189366023979	0	0	0	0.00699117521744144	0.038199340702238	0.0144328013558469	0	0	0	0.0227965511784445	0	0	0.0061707560957327	0.0263279031567069	0	0.0125358626580229	0.00822450460533415	0	0	0	0.0116095137473758	0	0	0
ENSG00000258767.1	0	0	0	0	0.0331016948338858	0	0	0	0	0	0	0	0.0522347260696714	0	0	0	0	0	0.0188836671147324	0.0871065784997804	0	0.0549685237864881	0.0235999158302394	0	0
ENSG00000258848.1	0	0	0	0	0.0936072517843491	0	0	0	0	0	0	0	0.0738564774345764	0	0	0	0	0	0	0.205271650153171	0	0	0	0	0
ENSG00000265793.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233917.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01539992738078	0
ENSG00000200790.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258585.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258997.1	0	0	0	0.00356497378336078	0	0.0124548149774662	0	0	0	0	0	0	0	0	0	0	0	0.00715088663888933	0	0.0239934288083228	0	0	0	0	0.117490472191762
ENSG00000264902.1	0	0	0	0	0	0.126826469587613	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122161664969204	0	0.154180005742588	0	0.214190453387557	0
ENSG00000258786.1	0.0179025454040781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0563400254638625	0	0	0	0	0
ENSG00000261841.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261406.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259176.1	0.16402567849865	0.0110883516164377	0	3.32788847585389	0.0637038739354169	6.68132194968737	0.419128551373794	0.0126229201853761	0.0016341831534478	0.0218852444783809	0	17.422337704031	0.105428865475316	0.032914057411851	0.00195041405018053	0.0649309783515859	12.4452027876123	0	0.0017727524230157	5.69348151612596	2.21917671855474	4.80166882374092	0.152869658867714	0.265246463501162	0.812169829754689
ENSG00000258721.2	0	0	0	0.0272818513054544	0	0.0953135789772491	0	0	0	0	0	0.0710900718710075	0	0	0	0	0.0208526798898987	0	0	0.10200872227571	0	0	0	0	0
ENSG00000259324.1	0.00880274494702736	0	0	0.148179081758608	0	0.115041709139207	0	0.00684206956950698	0	0	0.00915392486479576	0.279936817857101	0	0	0	0	0.0302025540588208	0	0	0.321350043469876	0.0267602299529424	0.139853545031994	0	0	0
ENSG00000258652.2	0.593856823291995	0	0	2.76571464241588	0.0142040854697644	11.0594574412781	0.195489063140762	0.0346188296128786	0.0298787218354261	0	0	6.7075339640531	0.0224141548433292	0	0	0.0802142481652811	0.674936926336856	0	0	2.35480284041384	1.51195299234124	9.6707682706452	0.0202536591080413	0.458751194942005	1.19367956213646
ENSG00000261277.2	0.173132472737344	0	0	1.43920375943896	0.006134883007086	6.76278388274836	0.105542040535303	0.00996814003357665	0	0.00411487271954516	0	5.49876836739238	0	0	0	0.180155642615851	1.40805718583975	0	0	1.7435353827031	1.09162762380158	4.51308854843293	0.0524865170761166	0.198139114012018	0.340270815391936
ENSG00000238960.1	0	0	0	0.176836818362748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182974.2	0.139479656097917	0	0	1.33459595113066	0.0210702670068092	7.70388903733024	0.0821631154676488	0	0	0.00942169196486263	0	5.46601659847863	0.0110830138339709	0.024796875971413	0	0.0555283872907998	1.84497483825368	0	0.00801336427377943	3.41917427598308	1.52869047934133	6.01814059315535	0.0801177954384511	0.210633785342376	0.436772196979524
ENSG00000183706.4	0	0	0	4.22720090715887	0.0473301320448989	0.766590543528682	0.679315813727508	0.0219724010331592	0.00711145422015471	0.01360539177164	0	13.0507103432752	0.0800221158705002	0.0358079221398912	0.00848759222547477	0.0305469534753753	9.67490269875703	0	0.00771446436303455	12.8818716268059	3.49118808178262	2.38034211352501	0.125335254586884	0.421152454529352	0.977333092295597
ENSG00000259435.2	0.0972821690967327	0	0	2.3035265502008	0.0651512575581371	4.3607839653071	0.140905075339601	0.00756140695701016	0	0	0	5.39793520662113	0.0367175641687788	0.0328604077665179	0	0.0210243701792619	3.58812249808827	0	0	7.32312885504878	2.18845029698293	5.16220293065772	0.0663567315520179	0.300599804998673	0.422369941888479
ENSG00000260739.1	0.0146012503341518	0	0	0.0819289846543005	0	0.0190821477177693	0.00961304016912372	0	0	0	0	0.0480347136999973	0	0	0	0	0	0	0	0.294084595302011	0	0	0	0	0
ENSG00000223877.3	0.191905500774423	0.13976314577632	0.036699282493314	0.244074611839902	0.0856812358240452	0.267518212377731	0.10107601721233	0.258546628877318	0.0257475802311711	0.0656791902888173	0.0266081931761266	0.37879464742522	0.0869179123506591	0.0540189179120009	0.030729996289018	0.0138247064362028	0.208504448759769	0.115195955179536	0.335169911489784	0.112734398219169	0.0777853629500319	0.121955888786742	0.191986453538603	0.197661286566652	0.0205727410065962
ENSG00000270505.1	0	0	0	0	0.0431353530413243	0.0294611062498138	0	0	0.0680523862767212	0	0	0.370806217655786	0.0850848937395498	0	0	0.0243596810292298	0.0386729587382068	0	0	0.255397475204739	0	0	0	0	0
ENSG00000269182.1	0	0	0	1.08245567603864	0	8.82404770221697	0.317521629828632	0	0	0	0	8.19743927233792	0	0	0	0	2.06841733857379	0	0	6.6781710183165	3.29880652874453	5.74670930495103	0	0	0.775529994309262
ENSG00000271288.1	0	0	0.0216780187187477	0.0763270027975962	0	0	0	0	0	0	0	0.149167629438738	0	0	0	0	0	0.17861936924918	0	0	0	0	0	0	0
ENSG00000259261.2	0	0	0	0.0505963701264518	0	0	0.0148416625840579	0	0.0226841287589071	0.028932334532326	0	0.197763316083086	0.0340339574958199	0	0	0	0	0.177607361491394	0	0.170264983469826	0	0	0	0	0
ENSG00000270356.1	0	0.281032359933851	0.131189389142766	0.538894959407166	2.18775569304418	0.418381572087874	0.0451647145876933	0.0710946079406243	0	0.146740144969987	0	0.0752267786393635	0.258922133535009	0.0386204217715685	0.192239085980437	0.271806440909481	0.039228604697089	0.0514740546851085	0.0499223383492926	0.43177829859805	0.0347575400538217	0.363297714680812	0.343148201439688	0.252350821519822	0.0367708186956978
ENSG00000271507.1	0	0.126724018473573	0.110918142423913	0.15621444887438	0.399536491581012	0.0909600918908247	0.0458230923513623	0.162294688097693	0.0466909472413656	0	0	0.0763233789110744	0.0350262011545902	0	0.167178347158331	0	0	0.0261122026682475	0	0	0.0352642097339066	0.147437439893787	0.0949500986755987	0.153617642954341	0.111920509382823
ENSG00000221641.1	0	0	0	0	0.29282268506899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232608152667884	0	0.208768486190579	0	0
ENSG00000259098.1	0	6.46493006902682	4.18440642331877	3.64244051325237	0.0107080025482331	0.0146269627372493	0	7.17695567501872	0.326606787770649	0	0	0	0.0337946188355118	0.056708467411417	1.88183409061019	0.012094187627733	0	0.0125970260410814	0	35.6028231292949	0.374266844798958	0	0.0305371625370186	0	0.701903729026737
ENSG00000258732.1	0.0842082691228861	19.8070814244737	16.0030231041612	18.947269789708	0.120847457330059	0.0550252407734618	0.0138600711433133	25.4281714400966	1.10156049602777	0.0405282305155202	0	0.161598265225299	0.0158915171905085	0.106665926797665	6.80116603053692	0	0.198633728545578	0.0947776244995649	0.0689403720061659	108.944289905949	11.0076577643468	1.20407242579926	0.516950537233815	1.11515029700188	9.95263492696886
ENSG00000259501.1	0.0113843797312056	0.0310918013851471	0.0326565861385426	2.47849829685241	0.0544591545907992	5.08829973263952	0	0.00884868510848972	0	0.0146110358940073	0	1.69782211704521	0.00859369599143379	0	0	0	1.29875303276114	0.153759407986419	0.012427019846605	0.444256011948093	0	0	0	0.477408764489003	0
ENSG00000263930.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259689.1	0.0437035135859738	0.00497326525588509	0	0.363749693423967	0	1.38504952736825	0	0.0169846157185382	0	0	0	0.674940855124065	0.00549839221786015	0.00307549354153451	0	0	0.146824498495558	0.135269575286908	0	0.0320918973420244	0	0.0520754435871992	0	0.76363552946868	0.0058564049913514
ENSG00000185182.10	0	0	0	0.025182261056944	0	0.010997289925468	0.00184670669445627	0.0021802012304668	0.00564504578913937	0	0	0.0369107070377138	0.00211737521960247	0	0.00336870949802065	0	0.0240598421476683	0	0.00306185649375287	0.243634367428889	0	0	0	0.0185727358242294	0.00451048463380431
ENSG00000221000.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241034.2	0.199655089694585	0.27263832289879	0.0818170383901121	0.192048587684274	0.382033897365994	0.223650978627619	0.0938908045192191	0.0221692863470764	0.0287007077128824	0.128121502920032	0.533880521146798	0.218939585143954	0.322956639678076	0.361287816572737	0	0.369848060357769	0.0733954539493924	0.0642041972416408	0.0622687231023434	0.0359041452597661	0	0	0	0.0629520328952675	0.0458646770828058
ENSG00000197414.8	0	0	0	0	0	0	0	0	0	0	0.00216513555148492	0.00228317800161334	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259596.1	0	0	0	0	0	0	0.0103335441660206	0	0	0	0	0	0	0	0	0	0.0134630714345039	0	0	0	0	0	0	0.0346422429542005	0
ENSG00000259184.1	0	0	0	0	0	0	0.0248298904842295	0	0	0	0	0	0	0	0	0	0.032349655058263	0	0	0	0	0	0	0.0832398918378182	0
ENSG00000259400.1	0	0	0	0	0.0101919542326556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013409981964491	0	0	0	0	0
ENSG00000153575.6	5.46186316476829	4.50396148923841	5.73876277354483	5.10558260531557	4.7987426692518	8.43011700122514	4.3218221837786	6.42889150168536	5.33159131687568	3.84625188874261	4.93304702750885	4.73336009596286	4.71963613724293	6.55817673260979	8.24897085738221	5.54010913341726	4.86422810787935	7.13352406943657	1.5369524753011	5.58032017666901	4.75679756243656	8.29441709681265	3.58941211408611	5.38440183177386	9.15987093278606
ENSG00000068793.13	13.5292023274664	6.85735117262647	7.4718988875576	23.2460598091001	11.0366792221374	25.5923053980169	8.52465701218933	12.2228697843694	8.72191816370191	2.85399527419077	5.13875989880061	14.8610627361011	10.2236899400764	3.79434263187218	8.81884338831076	9.25408758402133	16.9208629666457	9.02171722571735	6.70445282926164	24.9466646266877	9.3310754869934	22.9314353073865	7.35729354917761	16.7809547927612	9.85439617301795
ENSG00000140157.10	15.6224838614459	7.9677952585335	8.77258392254015	23.3639024340978	9.23164242514218	20.9805355917915	11.4587713082436	15.1498451348966	14.5460017906449	8.42982569532461	10.3740372763894	24.9838755899964	11.2170534791697	8.84426390299877	13.3471201713567	10.3040408256594	18.6895817273511	12.3116539835311	12.1561249959974	10.4145172000337	15.1221181453679	27.4461524744705	10.2953538662109	16.526336505654	14.2273798570849
ENSG00000170113.11	4.2870865370474	3.29994442197882	7.55913260240618	14.6333076977306	7.37536199239052	6.82918263239435	2.89234832219588	5.01927932060807	9.69183312280988	2.50925647898678	5.24568294815301	4.38321363538692	5.29996345870595	5.18672264392165	7.97737281365677	9.81764864565046	7.26278387361906	4.16733946730639	2.51708429957133	7.52445648356868	8.01925964121775	12.5701009279561	4.88643038850115	10.0092429847622	6.31428498642522
ENSG00000259344.1	1.13823799656318	1.30889851954135	5.30814983823829	10.3532743016845	4.55657081584142	12.0569484914859	1.80772195150241	2.66189986895379	6.33968744309315	1.69150697599531	3.16677561320137	2.93431630406591	5.09501581512705	3.52439211579638	5.01234386145516	7.36900217875318	18.635999027391	0.921495372957502	0.817423482381766	23.1389827692359	0.470469688959384	7.01141797758391	0.926230071731353	5.11262131147412	4.04598960644656
ENSG00000259425.1	0	0.00246407813698615	0.00690157330637681	0.0283500296105357	0.00517917674271682	0.0141493476274616	0.00237601219599657	0	0.0145260724750915	0.00694769665980346	0.00375290162257386	0.00989377134032446	0.00953491031430511	0	0.00650138016726843	0.0116992753786641	0.0510772444831486	0.024371389157031	0	0.0726875757095674	0	0	0	0	0
ENSG00000270628.1	0	0	0.0299566321664584	0	0.0299739756369832	0	0.041252810174586	0.121756513599101	0.0315255805192685	0	0	0.0687110734028832	0	0.0264565094025705	0	0	0	0	0	0	0	0.199098590092791	0	0	0
ENSG00000259480.1	0.570620960057967	0.660634136835928	0.0830286702914466	21.772292420774	0.166153479914438	25.6306113332461	0.00816696319902171	0.130164640726833	0.137307049058201	0.147266259285546	0.00644984261712811	3.89044989577479	0.0889578148575465	0.109991442831887	0.0521427918325738	0.160853638097923	27.3190693770866	0.272254820805258	0.534865520615257	23.2825089360325	0.0094276102406313	0.266059651374973	0.270764427919816	0.657095576409527	0.0897632144621398
ENSG00000230856.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
